ValidTasksIndex,AllTasksIndex,AssetNumber,AssetIdentifier,CreatedDate,UnderConstructionTime,BaselineTime,DelayTime,State,SegmentLength,CalculatedDelayTime,CalculatedState
1902202,6907099,97600668102,"AP 4-A-5-A-1, AP 4-A-5-A-2 • SB • Ledcor Sicim LP • 612.6",3/2/2021 5:31:49 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902203,6907100,24883923271,AP 4-A-7-A • NB • Ledcor Sicim LP • 613.9,3/2/2021 5:31:49 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902204,6907101,86523056182,AP 4-A-9-A • SB • Ledcor Sicim LP • 621.7,3/2/2021 5:31:49 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902205,6907102,89365125267,AP 4-A-Hwy 5-11 • SB • Ledcor Sicim LP • 621.7,3/2/2021 5:31:49 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902206,6907103,22527325942,AP 4-A-Hwy 5-12 • SB • Ledcor Sicim LP • 622.5,3/2/2021 5:31:50 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902207,6907104,11607995539,AP 4-A-10-A • SB • Ledcor Sicim LP • 622.8,3/2/2021 5:31:50 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902208,6907105,53971315200,AP 4-A-11-A • SB • Ledcor Sicim LP • 623.8,3/2/2021 5:31:50 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902209,6907106,23186836356,AP 4-A-Hwy 5-14 • SB • Ledcor Sicim LP • 627.1,3/2/2021 5:31:50 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902210,6907107,38194039865,AP 4-A-Hwy 5-15 • SB • Ledcor Sicim LP • 627.2,3/2/2021 5:31:51 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902211,6907108,94695340709,AP 4-A-12-A • SB • Ledcor Sicim LP • 627.3,3/2/2021 5:31:51 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902212,6907109,38343347632,AP 4-A-13-A • SB • Ledcor Sicim LP • 628.4,3/2/2021 5:31:51 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902213,6907110,27878205668,AP 4-A-Hwy 5-16 • SB • Ledcor Sicim LP • 628.4,3/2/2021 5:31:51 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902214,6907111,77197634355,AP 4-A-Hwy5-13 • NB • Ledcor Sicim LP • 625.9,3/2/2021 5:31:52 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902215,6907112,14357322467,AP 4-A-14-A • SB • Ledcor Sicim LP • 631.8,3/2/2021 5:31:52 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902216,6907113,25033704574,AP 4-A-15-A • SB • Ledcor Sicim LP • 632.9,3/2/2021 5:31:52 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902217,6907114,50686558234,"AP-4-A-151-A, AP-4-A-151-B • SB • Ledcor Sicim LP • 633",3/2/2021 5:31:53 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
2063115,7088591,10897197432,AP 3-B-12-A-1 • SB • Ledcor Sicim LP • 511.9,3/13/2021 1:45:17 PM,3.17,1.72,0.0,,0.0,1.45,OK
2181555,7223159,56416848379,"AP 3-C-62-A, AP 3-C-63-A • SB • Ledcor Sicim LP • 578.4",3/15/2021 1:45:12 AM,2.28,2.27,0.0,,0.0,0.01,OK
2339208,10893296,99945336683,SB HWY-5 Thompson-Nicola • 191634,4/28/2021 9:05:11 AM,228.25,211.35,0.0,,0.0,16.9,OK
2370860,10925707,43132175891,Spread 5B - SB,4/30/2021 9:05:29 AM,72.23,53.73,0.0,,0.0,18.5,OK
2700296,11257239,99945336683,SB HWY-5 Thompson-Nicola • 191634,5/24/2021 9:25:09 AM,225.72,211.35,0.0,,0.0,14.37,OK
3043578,11609455,44818877251,MRPP-AP 38 • SB • Ledcor Sicim LP • 464.3,3/25/2021 3:05:12 AM,2.02,1.0,0.0,,0.0,1.02,OK
3046053,11612053,62018149455,Spread 6 - SB,3/25/2021 4:45:09 AM,47.6,41.77,0.0,,0.0,5.83,OK
3067597,11635151,76933667429,Spread Reactivation Darfield to Blackpines - SB,3/26/2021 4:25:08 AM,29.15,28.73,0.0,,0.0,0.42,OK
3117093,11687745,58938837174,NB HWY-5 Fort George • 191004,3/28/2021 5:05:11 PM,158.65,150.32,0.0,,0.0,8.33,OK
3123274,11694616,58938837174,NB HWY-5 Fort George • 191004,3/29/2021 7:35:03 AM,151.72,150.32,0.0,,0.0,1.4,OK
3178554,11754093,99369489819,Spread 2 - SB,4/1/2021 3:10:09 PM,173.3,169.87,0.0,,0.0,3.43,OK
3185110,11760653,48672805900,Complete Route NB • 191644,4/2/2021 11:50:06 AM,391.43,379.77,0.0,,0.0,11.66,OK
3186680,11762223,76933667429,Spread Reactivation Darfield to Blackpines - SB,4/2/2021 4:30:08 PM,29.33,28.73,0.0,,0.0,0.6,OK
3244530,11822569,99945336683,SB HWY-5 Thompson-Nicola • 191634,4/9/2021 12:00:53 AM,211.68,211.35,0.0,,0.0,0.33,OK
3273219,11854238,34592545857,Spread Reactivation Hinton to Hargraves - SB,4/12/2021 9:35:11 AM,96.8,96.25,0.0,,0.0,0.55,OK
3325104,11909807,80002045894,SB HWY-5 Fort George • 191005,4/22/2021 2:30:02 PM,152.85,150.31,0.0,,0.0,2.54,OK
3331078,11916330,18758701810,AP 4-A-Hwy 5-27 • SB • Ledcor Sicim LP • 678,4/24/2021 10:15:14 AM,1.72,1.67,0.0,,0.0,0.05,OK
3349199,11935006,50195678222,"AP 3-A-4, AP 3-B-5, AP 3-B-6 • SB • Ledcor Sicim LP • 506",5/4/2021 4:05:12 AM,3.45,3.0,0.0,,0.0,0.45,OK
3508356,12614113,48672805900,Complete Route NB • 191644,3/22/2021 9:05:08 AM,400.77,379.77,0.0,,0.0,21.0,DELAY
